"Total Asset","Cash","Total Debt in Current Liabilities","Total Long-Term Debt","Earnings Before Interest","Gross Profit (Loss)","Total Liabilities","Retained Earnings","Total debt/total asset","Total asset/Total libiilities","EBTI/total asset","Gross Profit/Revenue","EBTI/REV","Sales/Turnover (Net)","Total Stockholders Equity","Total Interest and Related Expense","Market Value - Total - Fiscal","Total Inventories","Total Revenue","Operating Activities - Net Cash Flow","Financing Activities - Net Cash Flow","Net Cash Flow","Rating level","Debt-to-Equity Ratio","Total Current Asset","Working Capital Ratio","Debt Service Coverage Ratio","Gross Profit Margin"
1856.879,109.012,4.5,385.5,250.748,582.341,855.168,1281.194,0.207606419,2.171361651,0.13503734,0.415998863,0.179123371,1399.862,1001.711,26.045,2235.7931,162.62,1399.862,125.234,-380.992,-255.758,"Moderate Risk",-0.3758569088289936,271.63200000000006,0.7129448818897639,0.6429435897435897,41.5998862745042
44027,1099,132,5558,3836,5645,24397,14460,0.126240716,1.804607124,0.087128353,0.069518848,0.047240798,81201,19630,355,33124,9374,81201,4962,-3577,1385,"Low Risk",-0.2696892511462048,10473,1.9301511242167342,0.6741652021089631,6.951884829004569
12442.856,400.355,13.454,2075.453,1036.146,2995.895,8283.945,4112.137,0.166798764,1.502044738,0.083272361,0.131579687,0.045507525,22768.674,4158.911,121.537,5551.3616,2335.257,22768.674,673.301,-434.886,238.415,"Moderate Risk",-0.4925676457130243,2735.612000000001,1.3266795958678939,0.49602303980024,13.157968707356432
10951,1393,338,2942,574,1823,7368,3582,0.268651265,1.486292074,0.052415305,0.297827152,0.093775527,6121,3583,173,7287,765,6121,643,-1034,-391,"Moderate Risk",-0.6324309238068657,2158,0.8287250384024577,0.175,29.782715242607416
17689,595,103,7285,1688,1688,11409,2996,0.411837865,1.550442633,0.095426536,0.370663153,0.370663153,4554,6280,373,5488.8472,110,4554,1681,236,1917,"Low Risk",-1.1272292993630573,705,0.09816207184628237,0.22847861396859773,37.06631532718489
4507.228,80.08,11.885,1742.122,550.139,611.6,1951.704,2289.698,0.386517389,2.309380931,0.12205706,0.52097486,0.468620975,1173.953,2555.524,71.803,2811.9758,132.368,1173.953,442.62,462.905,905.525,"Moderate Risk",-0.6724069114592546,212.44800000000032,0.12278549123617187,0.31364698088434084,52.09748601519822
32051.7,1983.6,2175.8,11.5,2558.9,5321.3,25381.5,13811.1,0.000358795,1.262797707,0.079836639,0.435939868,0.209634211,12206.5,6670.2,6.1,38070.256,0,12206.5,1821.4,-2358.2,-536.8,"Low Risk",0.6506701448232437,1983.5999999999985,-0.9165088019220988,1.1698898184976911,43.593986810305985
668.886,180.334,0.46,300.813,8.585,23.426,382.146,-129.413,0.449722374,1.750341493,0.012834773,0.081806118,0.029979746,286.36,286.74,18.107,321.589,383.184,286.36,-81.409,185.114,103.705,"High Risk",-1.0458708237427636,563.518,1.8761856881735826,0.02849574970209744,8.180611817292917
11255.517,928.971,865.088,1213.814,1021.751,3362.919,6365.324,3396.919,0.107841692,1.768255159,0.090777794,0.122289502,0.037155049,27499.654,4890.193,104.823,6125.8132,2613.363,27499.654,237.418,-88.497,148.921,"Moderate Risk",0.10559133351178569,3542.334,10.157929147812318,0.49148589014777994,12.228950226064663
5496.8,960.5,137.1,2463.9,910.5,5662.9,5191.5,2485.3,0.448242614,1.058807666,0.165641828,0.639774499,0.102865083,8851.4,305.3,111.1,4081.833,822.2,8851.4,359.8,-218.8,141,"Moderate Risk",-7.172289551261056,1782.6999999999998,0.7661595324050197,0.3500576701268743,63.97744989493187
