"Total Asset","Cash","Total Debt in Current Liabilities","Total Long-Term Debt","Earnings Before Interest","Gross Profit (Loss)","Total Liabilities","Retained Earnings","Total debt/total asset","Total asset/Total libiilities","EBTI/total asset","Gross Profit/Revenue","EBTI/REV","Sales/Turnover (Net)","Total Stockholders Equity","Total Interest and Related Expense","Market Value - Total - Fiscal","Total Inventories","Total Revenue","Operating Activities - Net Cash Flow","Financing Activities - Net Cash Flow","Net Cash Flow","Rating level","Debt-to-Equity Ratio","Total Current Asset","Working Capital Ratio","Debt Service Coverage Ratio","Gross Profit Margin"
5595.753,59.727,67.398,1548.051,573.552,573.552,3237.773,1247.387,0.276647486,1.72827218,0.102497734,0.349937645,0.349937645,1639.012,2357.98,56.162,4851.9034,30.251,1639.012,491.464,15.239,506.703,"Moderate Risk",-0.5993498672592643,89.97800000000007,0.060769133618747986,0.35504184904630237,34.993764536196196
3318.818,26.035,15.625,1884.27,539.175,839.053,2337.352,-630.405,0.567753339,1.419905089,0.162459948,0.651914441,0.418919864,1287.06,981.466,105.254,5124.9265,0,1287.06,452.529,-294.315,158.214,"Moderate Risk",-1.888012422233679,26.034999999999854,0.013932555407795411,0.2837919990315254,65.19144406632171
824.713,0.74,5.395,418.408,-41.93,277.454,607.908,-302.206,0.507337704,1.356641136,-0.050841929,0.281949688,-0.042609407,984.055,216.805,38.539,479.7726,37.215,984.055,-31.416,-13.102,-44.518,"High Risk",-1.8801134660178502,37.95500000000004,0.09189783372436228,-0.09893747802634714,28.194968777151686
18378,717,199,11083,1937,2169,14947,-6718,0.603058004,1.22954439,0.105397758,0.27011208,0.241220423,8030,3431,664,8451.9117,447,8030,854,-994,-140,"High Risk",-3.114252404546779,1164,0.10694597574421169,0.17168941677007624,27.01120797011208
10909.616,408.753,162.463,4261.197,989.412,1873.866,8501.403,-719.173,0.390590925,1.28327242,0.090691735,0.651283823,0.343881596,2877.188,2408.213,231.164,11100.2056,472.215,2877.188,355.189,302.857,658.046,"Moderate Risk",-1.6345194548821054,880.9680000000008,0.21493661213438117,0.22366366312058342,65.12838229549129
7228.2,36.3,2769.7,1316,574.1,2573.7,5547,962.1,0.182064691,1.303082747,0.07942503,0.149832336,0.033422211,17177.2,1681.2,98.9,4428.3222,2819.2,17177.2,366.6,153.3,519.9,"Moderate Risk",2.512134189864382,2855.5,-1.9642979982114606,0.1405144773233473,14.983233588710615
33562,3536,152,3014,4547,6594,12790,12347,0.089803945,2.624081314,0.135480603,0.30755597,0.212080224,21440,20772,105,27455.6283,7159,21440,2614,-1343,1271,"Low Risk",-0.13046408626997882,10695,3.7368972746331237,1.436197094125079,30.755597014925375
720.003,107.978,10.444,332.927,5.507,77.446,571.759,-62.407,0.462396684,1.259277073,0.007648579,0.141469902,0.010059587,547.438,144.24,12.347,200.7436,43.073,547.438,3.663,284.624,288.287,"High Risk",-2.1633319467554073,151.05100000000004,0.4683998846450822,0.016038046311424085,14.14699016144294
7311.027,361.363,46.46,2977.706,855.82,1214.16,4389.16,2227.843,0.407289701,1.665700726,0.117058794,0.138666818,0.097741513,8755.952,2795.527,139.734,4766.2033,1618.419,8755.952,617.572,1095.902,1713.474,"Moderate Risk",-1.0319292212166078,1979.7820000000002,0.6754062947975025,0.2829937245508348,13.866681772581671
9877,192,518,3244,1433,3068,5547,5696,0.32843981,1.780602127,0.14508454,0.412642905,0.192737054,7435,4330,167,9656.64,110,7435,938,92,1030,"Moderate Risk",-0.5099307159353349,302,0.1107850330154072,0.3809144072301967,41.26429051782112
2072.632,586.72,197.851,1279.38,151.804,1006.133,2142.247,-6025.125,0.61727311,0.967503747,0.073242138,0.439687907,0.066339523,2288.289,-69.615,47.115,1792.9848,297.045,2288.289,89.816,258.527,348.343,"High Risk",12.693787258493142,883.7650000000001,0.8171440617866004,0.10276253341555923,43.96879065537613
3303.924,222.591,125.13,1473.833,523.423,747.919,2593.968,1147.897,0.446085624,1.273694972,0.158424649,0.191196102,0.133806518,3911.79,709.956,75.25,3387.6808,548.765,3911.79,344.988,-125.99,218.998,"Moderate Risk",-1.7234490588149123,771.3559999999998,0.5719242857767795,0.32735153971667885,19.119610204024244
2445.39,154.568,302.375,804.557,190.841,435.154,1339.126,-220.466,0.329009688,1.82610897,0.07804113,0.802406737,0.351903244,542.311,1106.264,72.642,2072.1581,0,542.311,184.829,-279.764,-94.935,"High Risk",-0.18061421143596829,154.5680000000002,0.3077927922546013,0.17240535100620455,80.24067370936602
23831,1460,502,749,1470,1470,19083,4533,0.03142965,1.248807839,0.061684361,0.469798658,0.469798658,3129,4748,25,18186.65,332,3129,1025,-510,515,"Low Risk",0.05370682392586352,1792,7.255060728744939,1.1750599520383693,46.97986577181208
4965.632,193.412,240.597,2875.319,349.418,469.379,3863.412,-1353.454,0.579043916,1.285297038,0.070367277,0.617546256,0.459717579,760.071,1102.22,179.803,2299.7689,15.731,760.071,366.589,1524.023,1890.612,"Moderate Risk",-2.1720935929306306,209.14300000000003,0.07937953226184775,0.11213973675798705,61.75462555471791
7442.9,1529,79.6,1521.2,1142.7,2062.5,4000.8,2987,0.2043827,1.860352929,0.153528866,0.223202208,0.123662139,9240.5,3442.1,63.4,9412.844,675.5,9240.5,712.7,226.3,939,"Low Risk",-0.3956886784230558,2204.5,1.5292036625971142,0.7138305847076463,22.3202207672745
54505,14557,3600,12489,3911,29836,43764,1438,0.229134942,1.245430034,0.071754885,0.335281162,0.043949746,88988,10741,210,144312.75,8299,88988,6842,4432,11274,"Low Risk",-0.49241225211805234,22856,2.5712678591517606,0.24308533780844055,33.528116150492195
3127.191,74.393,0,1200,385.778,492.207,1645.691,-267.971,0.383730959,1.900229752,0.123362468,0.298874773,0.234249639,1646.867,1481.5,45.66,4243.2038,0,1646.867,423.581,-230.22,193.361,"Moderate Risk",-0.809989875126561,74.39300000000003,0.06199416666666669,0.32148166666666667,29.887477252261412
2981.476,10.838,0,1351.346,521.007,598.036,1878.035,187.544,0.453247318,1.587550818,0.174748011,0.842082437,0.733619455,710.187,1103.441,87.716,1918.9248,0,710.187,501.619,300.29,801.909,"High Risk",-1.2246653876373996,10.838000000000193,0.008020151759801112,0.3855467067649587,84.20824374425327
2141.076,87.886,9.55,911.627,224.367,362.05,1390.117,-332.194,0.425779842,1.540212802,0.104791703,0.267590737,0.165829391,1352.999,750.959,34.709,2892.7604,0,1352.999,174.297,-36.42,137.877,"High Risk",-1.188516283845057,87.88599999999997,0.09742627292348655,0.24356556883204858,26.759073731761813
2502,247,7,965,263,541,3087,-1627,0.385691447,0.810495627,0.105115907,0.143653744,0.069835369,3766,-585,101,1061.13,379,3766,215,-212,3,"High Risk",1.6256410256410256,626,0.6534446764091858,0.2705761316872428,14.365374402549126
8345,578,267,3077,2675,4326,6732,1547,0.368723787,1.239601901,0.320551228,0.325777543,0.201445892,13279,1604,152,31616.9,301,13279,2049,-1114,935,"Moderate Risk",-1.5854114713216958,879,0.3128113879003559,0.7999401913875598,32.57775434897206
398.751,43.021,19.655,110.651,54.79,214.02,284.945,-100.352,0.277493975,1.399396375,0.137404044,0.323988501,0.082942388,660.579,113.806,16.88,362.9221,71.253,660.579,19.815,-82.058,-62.243,"Moderate Risk",-0.6268650159042581,114.274,1.2558134423491143,0.4204718125028779,32.398850099685276
2114.9,3.1,66.7,933.3,286,972.1,1564.5,-1237.8,0.441297461,1.351805689,0.13523098,0.244498101,0.071933399,3975.9,550.4,58,1513.138,184.5,3975.9,237.8,-158.3,79.5,"Moderate Risk",-1.4533066860465114,187.5999999999999,0.2164781906300484,0.286,24.449810105887977
647.27,214.879,12.349,782.082,221.568,342.986,1076.071,425.428,1.208277844,0.601512354,0.342311555,0.452506036,0.292317638,757.97,-428.801,41.886,3212.0748,0,757.97,183.891,-117.54,66.351,"Moderate Risk",1.766283194302252,214.87900000000002,0.2791604361512369,0.27890150308837397,45.2506035858939
4141.492,40.975,1461.416,1008.837,389.795,1447.938,3163.482,770.073,0.243592647,1.309156177,0.094119462,0.14569875,0.039223119,9937.889,978.01,92.038,2181.2612,1556.705,9937.889,198.288,171.65,369.938,"Moderate Risk",1.9570300917168535,1597.6799999999998,-3.5301682137262222,0.1577955780237895,14.569874950303834
3183.135,4.182,1293.538,742.61,292.173,1365.9,2516.417,369.929,0.233295163,1.264947344,0.091787813,0.148514222,0.031767952,9197.099,666.718,73.904,1376.8768,1311.702,9197.099,160.65,-51.53,109.12,"Moderate Risk",2.7664859805794952,1315.884,-2.388486335782534,0.14349300738453197,14.85142217127379
5091,580,23,1804,785,1640,2884,1493,0.354350815,1.765256588,0.154193675,0.273424475,0.130876959,5998,2207,75,6050.9585,699,5998,731,-388,343,"Moderate Risk",-0.7965564114182148,1279,0.7181358787198203,0.42966611932129173,27.342447482494165
12467,158,618,7434,2630,3388,10669,429,0.596294217,1.168525635,0.210956926,0.595954266,0.462620932,5685,1798,475,9984.5348,78,5685,1801,196,1997,"Moderate Risk",-3.447163515016685,236,0.034624413145539906,0.3266269249875807,59.59542656112578
8647.186,61.098,1427.52,3143.941,697.545,783.631,5772.552,-80.26,0.363579666,1.497983214,0.080667283,0.503534433,0.448218519,1556.261,2874.634,140.211,11724.0593,0,1556.261,571.674,790.266,1361.94,"Moderate Risk",-0.10050009844731532,61.097999999999956,0.035596162013864875,0.15258688633677506,50.353443284898866
2154.859,191.608,631.19,750,628.117,885.382,3038.325,-19003.833,0.348050615,0.709225972,0.291488677,0.876514305,0.621825986,1010.117,-883.466,86.701,6751.764,0,1010.117,600.949,-859.752,-258.803,"Moderate Risk",-0.5799657259022986,191.60799999999995,1.6127262014981907,0.45476509386833086,87.65143047785553
15376,273,397,6465,1744,3661,10243,-905,0.420460458,1.501122718,0.113423517,0.582220102,0.27735369,6288,5133,300,16673.4653,0,6288,1093,-585,508,"Moderate Risk",-1.1048120007792714,273,0.044990112063282794,0.254153308073448,58.222010178117046
21331.545,313.492,897.624,13711.084,2530.224,2979.566,17278.193,-1631.541,0.642760944,1.234593513,0.118614193,0.726714907,0.61712058,4100.048,4053.352,584.516,39213.6962,0,4100.048,2134.589,-134.591,1999.998,"Moderate Risk",-2.9397486327365603,313.49199999999837,0.024465835145229965,0.17319971074786353,72.67149067523113
1057.118,62.662,1.062,264.165,165.692,198.973,455.915,168.669,0.249891687,2.318673437,0.156739361,0.391808708,0.326273256,507.832,601.203,22.133,449.9447,2.611,507.832,181.351,-32.245,149.106,"High Risk",-0.4358610984975125,65.27300000000002,0.24808915139698148,0.6247176946540133,39.180870839175164
3881.8,370.5,0,874.3,-125.6,-80.9,1610.6,-646.4,0.225230563,2.410157705,-0.032356123,-0.111432507,-0.173002755,726,2271.2,60.2,2170.1154,187.5,726,268.8,-52.9,215.9,"Moderate Risk",-0.38495068686157097,558,0.6382248656067712,-0.1436577833695528,-11.143250688705235
1014.1,324.4,0,442,175.7,175.7,613.8,81.5,0.435854452,1.65216683,0.173257075,0.393505039,0.393505039,446.5,400.3,34.1,1421.0091,0,446.5,163.1,-20.9,142.2,"Moderate Risk",-1.1041718710966775,324.4,0.7339366515837104,0.39751131221719455,39.3505039193729
7326.675,174.792,1.932,980.888,208.286,284.509,2688.001,61.086,0.133879011,2.725696531,0.028428448,0.299069498,0.218945585,951.314,4638.674,30.635,3546.3136,162.074,951.314,187.366,1947.966,2135.332,"High Risk",-0.21062570898493838,336.866,0.34410739604231444,0.21192690421440344,29.90694975581144
3635.405,449.946,5,1525.824,765.355,1096.717,2504.469,-549.829,0.419712247,1.451567179,0.210528125,0.350451518,0.24456612,3129.44,1130.936,103.125,1680.0517,223.379,3129.44,613.909,-79.995,533.914,"Moderate Risk",-1.3403269504198294,673.3250000000003,0.4427369636460236,0.4999627651513172,35.045151848254
5250.031,14.353,3.649,1975.916,716.859,944.186,3016.29,1415.656,0.37636273,1.740559097,0.136543765,0.454117661,0.344781994,2079.166,2233.741,64.674,5454.1002,0,2079.166,545.22,-181.05,364.17,"Moderate Risk",-0.8813098743318944,14.353000000000065,0.0072774122367813615,0.3621295587666988,45.41176606389292
312.952,8.92,25.644,156.549,18.612,246.608,246.575,-52.168,0.500233263,1.269195985,0.059472379,0.396560042,0.029929181,621.868,66.377,19.554,100,96.935,621.868,5.383,11.116,16.499,"High Risk",-1.5858053241333594,105.85500000000002,0.80863985332875,0.10215540662923382,39.656004168087115
5185.277,1103.269,210,0.603,658.42,1361.45,1789.441,3493.857,0.000116291,2.89770772,0.126978752,0.382039473,0.184760681,3563.637,3395.836,3.483,7189.5795,0,3563.637,709.258,-321.628,387.63,"Moderate Risk",0.12350331405874725,1103.2690000000002,-5.268790861378149,3.126356224745136,38.203947259499216
3745.441,7.271,0,2485.127,304.089,352.191,3203.861,-830.35,0.663507181,1.169039793,0.081189104,0.27875937,0.240686611,1263.423,541.58,145.533,985.6873,0,1263.423,136.796,-146.745,-9.949,"High Risk",-4.588660954983566,7.2710000000001855,0.00292580620628249,0.12236356532281852,27.87593703771421
442.436,7.927,3.424,265.554,39.2,92.561,324.301,22.772,0.600208844,1.364275781,0.088600385,0.238671848,0.101078602,387.817,118.135,20.021,184.1601,114.279,387.817,49.117,-29.651,19.466,"High Risk",-2.1899183137935414,122.20599999999996,0.4662037920115972,0.14573682606012392,23.867184780450575
20094,75.2,10.4,7050.8,2241.3,3160.2,12346.2,2766.1,0.350890813,1.627545318,0.111540758,0.35959173,0.255032259,8788.3,7747.8,355.1,14196.175,35.9,8788.3,1529.8,-708.1,821.7,"Moderate Risk",-0.9073543457497614,111.09999999999854,0.01578035338901178,0.31741063841839917,35.959172991363516
2516.5,198.9,7.5,368.4,360.8,1041,1225,1640.9,0.146393801,2.054285714,0.143373733,0.364559622,0.126352653,2855.5,1291.5,19.3,2024.778,0,2855.5,261,207.6,468.6,"Moderate Risk",-0.27363530778164924,198.9000000000001,0.551122194513716,0.959829741952647,36.45596217825249
21143.276,175.62,113.335,11807.526,2078.827,2361.523,14406.048,-2799.608,0.558453004,1.467666636,0.098320951,0.639999252,0.563385461,3689.884,6737.228,576.276,26274.5459,0,3689.884,1666.13,-462.987,1203.143,"Moderate Risk",-1.7189348497631372,175.61999999999898,0.015017712640404024,0.17438564211091803,63.999925200900634
45132,6328,850,6777,5039,13392,25226,20071,0.150159532,1.789106477,0.11165027,0.748072841,0.28147693,17902,19906,123,68690.88,0,17902,5677,-1022,4655,"Low Risk",-0.25504872902642417,6328,1.0676564872616838,0.6606791661203619,74.80728410233493
451.813,23.991,136.716,275.579,39.112,39.112,526.018,-599.544,0.609940396,0.858930683,0.086566788,0.267377632,0.267377632,146.28,-74.205,49.458,19.9723,0,146.28,4.375,-3.004,1.371,"High Risk",0.028933360285694917,23.990999999999985,0.17276740384407643,0.09486411428710026,26.737763193874763
3259.2,249.2,13,1523.4,470,720.9,3145.8,-328.3,0.467415317,1.036048064,0.144207167,0.195048701,0.127164502,3696,113.4,105.7,1712.322,248.8,3696,318.4,-21.4,297,"Moderate Risk",-13.204585537918872,498,0.3297139830508474,0.3059099192918511,19.50487012987013
926.615,31.54,3,476.929,94.033,120.605,597.594,-279.885,0.51470028,1.550576144,0.101480118,0.317557907,0.247592742,379.789,329.021,38.821,474.9696,0,379.789,65.296,-38.932,26.364,"High Risk",-1.4313037769625645,31.539999999999964,0.06655005285601845,0.1959310648033355,31.755790715370907
10746,904,34,2417,2585,3664,7733,807,0.224920901,1.389628863,0.240554625,0.215238207,0.151853375,17023,3013,135,21206.5337,1104,17023,2135,-1398,737,"Moderate Risk",-0.7796216395618984,2008,0.8426353336130927,1.054671562627499,21.523820713152794
1357.384,114.934,15.269,490.287,206.425,585.341,1271.247,357.953,0.361199926,1.067757879,0.15207561,0.643957913,0.227096705,908.974,86.137,18.41,2425.7659,0,908.974,182.144,-77.662,104.482,"Moderate Risk",-5.337415976874049,114.93399999999997,0.2419571468870653,0.4083128278568547,64.39579129876101
14940.563,3148.651,37.195,3849.756,3288.032,7584.13,6373.54,6380.603,0.257671414,2.344154583,0.22007417,0.898383802,0.389486294,8441.971,8567.023,87.853,59214.5259,0,8441.971,2914.397,1428.994,4343.391,"Moderate Risk",-0.44068587186003816,3148.651,0.8258624583318143,0.8459154746226542,89.838380160273
11759.53,176.989,13.016,3275.878,875.83,875.83,6430.072,2903.05,0.278572188,1.828833332,0.074478317,0.248356798,0.248356798,3526.499,5329.458,237.137,7785.2597,101.873,3526.499,936.78,-45.829,890.951,"Moderate Risk",-0.6097892130869593,278.86199999999917,0.08546545946472733,0.2662992483187357,24.83567980594919
5457,191.5,19.2,2199.3,661.3,872.3,3188,1468.7,0.403023639,1.711731493,0.121183801,0.194575182,0.147509536,4483.1,2181.9,123,3205.2444,115.2,4483.1,412.3,-385.5,26.8,"Moderate Risk",-0.9903753609239656,306.6999999999998,0.1406816201091692,0.29808429118773944,19.45751823514978
1398.555,67.781,3.829,816.476,113.987,299.698,1167.147,-987.787,0.583799708,1.198268084,0.081503409,0.678991452,0.258247298,441.387,220.572,79.81,83.6736,0,441.387,53.92,-27.715,26.205,"High Risk",-3.666911484685273,67.78099999999995,0.08340767885687136,0.13895685141502245,67.89914519457982
4754.437,128.319,85.178,1366.43,534.234,1611.042,2826.272,1442.022,0.287401011,1.682229099,0.112365355,0.204197512,0.067713476,7889.626,1928.165,82.064,3390.5829,819.502,7889.626,251.156,-95.49,155.666,"Moderate Risk",-0.6203172446341471,947.8209999999999,0.7397615769575384,0.36802910978721526,20.419751202401734
1263.429,141.725,0.017,297.598,125.399,222.863,440.143,-24.005,0.235547862,2.870496634,0.099252906,0.408965708,0.230113975,544.943,823.286,20.8,1261.4586,0,544.943,42.507,-47.736,-5.229,"Moderate Risk",-0.3614345440102225,141.7249999999999,0.47625688468013716,0.4213463703106362,40.896570834013836
3733.675,1255.017,1.826,595.45,571.155,1556.16,1325.614,633.433,0.15948094,2.81656274,0.152973947,0.703741339,0.258293096,2211.267,2408.061,36.757,4629.6731,38.718,2211.267,541.597,-219.692,321.905,"Moderate Risk",-0.2457570634630933,1293.7350000000001,2.1793845936148135,0.956266449681554,70.37413392412586
460.528,30.202,5.104,215.333,68.546,130.396,359.048,-42.743,0.467578519,1.282636305,0.148842199,0.185296868,0.097406048,703.714,101.48,20.431,397.6741,31.722,703.714,50.915,-14.902,36.013,"High Risk",-2.0213342530547886,61.92399999999998,0.2945549852779587,0.31095505745405716,18.529686776161903
15196,966,450,4633,2675,4508,10674,-1678,0.304882864,1.423646243,0.176033167,0.532168575,0.315783261,8471,4522,286,34145.6227,1281,8471,1623,-1918,-295,"Moderate Risk",-0.8255196815568333,2247,0.5371742768348076,0.5262640173126106,53.21685751387085
7841.125,39.443,34.241,7829.663,995.194,1098.511,8501.925,-2724.866,0.99853822,0.922276426,0.126919798,0.719393502,0.651733207,1526.996,-660.8,337.584,14302.8818,0,1526.996,671.643,991.838,1663.481,"Moderate Risk",11.74512863196126,39.44300000000021,0.005059764564381532,0.12655215526537456,71.93935020131028
8403.1,1639.6,0,1349,837.7,3093.2,3484,-3874.9,0.160535993,2.411911596,0.0996894,0.668496466,0.181042121,4627.1,4919.1,69.6,9289.584,54.5,4627.1,763.4,-1824.2,-1060.8,"Moderate Risk",-0.27423715720355346,1694.1000000000004,1.255819125277984,0.6209785025945145,66.84964664692788
583.159,0.033,1.898,275.607,48.505,65.597,379.165,-2.77,0.472610386,1.538008519,0.083176286,0.246109344,0.181982922,266.536,203.994,18.895,197.9868,0.572,266.536,41.925,-20.223,21.702,"High Risk",-1.3324460523348725,0.6050000000000182,0.0022103767139553987,0.1747896434298481,24.610934357835337
4646.433,1358.071,159.843,1028.82,682.111,1283.57,2868.931,1099.121,0.221421465,1.619569449,0.14680315,0.322784664,0.171533278,3976.552,1777.502,51.838,4266.0732,36.658,3976.552,571.618,175.023,746.641,"Moderate Risk",-0.39894976208184296,1394.7289999999998,1.6050240685311576,0.5738472552775682,32.27846636986011
1705.202,433.663,0.258,593.491,249.159,508.594,884.967,546.457,0.348047328,1.92685377,0.146117,0.849029264,0.415937432,599.03,820.235,31.204,2939.42,0,599.03,177.231,327.53,504.761,"Moderate Risk",-0.7229330618664163,433.663,0.7310163123089917,0.4196369172832291,84.90292639767625
8413.4,371,286.8,3049.6,504.4,955,4839.2,-22.1,0.362469394,1.738593156,0.059951981,0.396940854,0.209651274,2405.9,3574.2,141.3,5805.0463,155.3,2405.9,457.7,455.7,913.4,"Moderate Risk",-0.6927424318728665,526.3000000000002,0.19049514984798038,0.15118091355952523,39.694085373456915
1764.3,37.5,250.6,675,391.4,965.1,1755.3,868.6,0.382587995,1.005127329,0.221844358,0.286600938,0.116232108,3367.4,9,18.9,4243.4495,463.3,3367.4,184.8,-89.5,95.3,"Moderate Risk",-19.31111111111111,500.79999999999995,1.180018850141376,0.42286084701815035,28.66009384094554
2784.582,11.585,2.638,878.307,294.18,433.037,1474.456,317.128,0.315417898,1.888548726,0.105646018,0.519842356,0.35315048,833.016,1310.126,48.32,2096.9298,0,833.016,194.477,262.088,456.565,"Moderate Risk",-0.6663717840879426,11.585000000000036,0.013229884808072499,0.33393685190335376,51.984235596915305
2281.826,89.031,6.308,308.064,-22.087,2.119,650.616,-461.097,0.135007665,3.507177813,-0.009679529,0.007216196,-0.075216673,293.645,1631.21,19.91,818.8487,73.116,293.645,60.414,38.126,98.54,"High Risk",-0.18112198919820258,162.14699999999993,0.5373447421095187,-0.07025752929650222,0.7216196427659249
5968.269,27.594,0,2800.704,291.901,335.454,3015.862,-874.695,0.469265712,1.978959581,0.048908821,0.396799618,0.345281932,845.399,2952.407,135.114,4508.4501,0,845.399,350.901,901.484,1252.385,"Moderate Risk",-0.9486171791355325,27.59400000000005,0.009852522794268887,0.10422415221315783,39.67996176953131
829.2,99.5,5.6,406.4,79.2,199.4,678.7,-184.9,0.49011095,1.221747458,0.095513748,0.201944501,0.080210654,987.4,150.5,30.5,315.964,92.7,987.4,15,-52.5,-37.5,"High Risk",-2.625913621262458,192.20000000000005,0.47954091816367284,0.19223300970873788,20.194450070893254
591.784,20.084,8.903,350.143,71.547,153.209,441.448,-1107.437,0.591673651,1.340552002,0.120900531,0.457396278,0.213599276,334.959,150.336,26.742,433.1036,0,334.959,53.248,7.924,61.172,"High Risk",-2.2106281928480196,20.083999999999946,0.05885593717031986,0.19926973145502247,45.739627835048466
1138.8,34.7,1.1,663,60.9,230.8,914.5,-639.1,0.582191781,1.24527064,0.053477345,0.265898618,0.07016129,868,224.3,54.5,290.166,68,868,6.1,-9.7,-3.6,"High Risk",-2.9460543914400352,102.70000000000005,0.15515938963589673,0.09170305676855894,26.58986175115208
9020.538,1402.7,0,1746.787,937.365,4619.796,6566.736,-110.496,0.193645545,1.373671486,0.103914534,0.801562943,0.162638577,5763.485,1893.729,98.089,10846.4391,0,5763.485,1366.959,48.149,1415.108,"Moderate Risk",-0.9224060042381989,1402.6999999999998,0.8030171967160277,0.536622381549668,80.15629432539515
10831,3028,0,2762,1519,4060,5530,6132,0.255008771,1.958589512,0.140245591,0.58157857,0.217590603,6981,5301,113,18516.9205,1072,6981,711,-97,614,"Moderate Risk",-0.5210337672137333,4100,1.4844315713251268,0.5499637943519189,58.15785704053861
5348.5,124.9,7.6,2371.7,1199.5,1669,3827.1,1088.3,0.443432738,1.39753338,0.224268486,0.285172402,0.204951645,5852.6,1521.4,89.7,7677.6224,664.9,5852.6,736.1,-351.1,385,"Moderate Risk",-1.5489023268042592,789.8000000000002,0.33408062264709626,0.504139873071912,28.517240200936335
11262,53,4,2857,922,1068,4926,-1420,0.253684958,2.286236297,0.081868229,0.175976273,0.151919591,6069,6336,136,14307.7022,137,6069,800,1039,1839,"Moderate Risk",-0.4496527777777778,190,0.06659656501927795,0.3222649423278574,17.5976272862086
3524.3,653.8,0,598.1,560.7,1765.2,1332.9,2741,0.16970746,2.644084327,0.159095423,0.759912179,0.24137931,2322.9,2191.4,17.2,13731.564,296.8,2322.9,1022.3,-153,869.3,"Moderate Risk",-0.27293054668248606,950.5999999999999,1.5893663267012204,0.9374686507273031,75.99121787420896
6928.7,1129,519.5,1768.9,900,2280.2,4406.4,1101.9,0.255300417,1.572417393,0.129894497,0.51266947,0.202351777,4447.7,2522.3,122.6,7617.335,616.9,4447.7,572,-147.7,424.3,"Moderate Risk",-0.2893787416247076,1745.9000000000005,1.3973907475588285,0.3932878867330886,51.26694696135081
3823,511.7,209.6,983,556.1,1295.5,2175.6,-957.1,0.25712791,1.7572164,0.145461679,0.409734961,0.175880827,3161.8,1647.4,34.1,4397.433,729.9,3161.8,481.3,91.4,572.7,"Moderate Risk",-0.3422362510622799,1241.6,1.6053788466511507,0.4662921348314607,40.97349610981087
18974.03,682.134,297.622,9485.615,2100.488,3188.668,15316.353,-295.574,0.499926215,1.238808612,0.110703314,0.668135083,0.440124128,4772.49,3657.677,673,6686.4682,0,4772.49,1270.072,1207.744,2477.816,"Moderate Risk",-2.4306058189391795,682.1339999999982,0.074241893741103,0.21470276146841788,66.81350825250551
40665,2116,474,19900,2859,2859,28679,3414,0.489364318,1.417936469,0.07030616,0.180173935,0.180173935,15868,11967,1148,9073.0679,1247,15868,1510,1265,2775,"Moderate Risk",-1.5836884766441046,3363,0.17311850097807063,0.14032590556591734,18.017393496344845
1183.925,6.306,4.499,343.364,-224.901,-168.977,520.991,-401.132,0.29002175,2.272448085,-0.189962202,-0.213384435,-0.284005354,791.89,662.934,14.917,304.4772,6.47,791.89,154.498,73.193,227.691,"High Risk",-0.5043729843393158,12.776000000000067,0.03770232983636572,-0.6465217628779146,-21.33844347068406
5323,822,142,839,675,1043,3502,365,0.157617885,1.519988578,0.126808191,0.138899987,0.089892129,7509,1821,37,4693.2912,537,7509,284,-359,-75,"High Risk",-0.30477759472817134,1359,1.9497847919655666,0.6880733944954128,13.88999866826475
1885.192,160.023,31.904,745.958,290.985,540.987,1180.846,-213.022,0.395693383,1.596475747,0.154352978,0.416893613,0.224237899,1297.662,675.927,12.982,3011.8903,89.043,1297.662,251.051,61.414,312.465,"Moderate Risk",-1.0092066155072958,249.06600000000003,0.34880555252123796,0.37408306357682986,41.689361328296584
1762.091,389.699,100,666.796,207.915,472.46,1013.65,-83.387,0.378411785,1.738362354,0.117993339,0.491087438,0.216112358,962.069,748.441,29.404,1846.6655,163.125,962.069,126.423,747.648,874.071,"Moderate Risk",-0.6236911125927094,552.8240000000001,0.9753491556044857,0.2711477368165718,49.10874375954323
527.767,31.26,3.75,336.563,74.964,131.764,382.209,-766.612,0.637711339,1.380833523,0.142039953,0.544393856,0.309719961,242.038,145.558,13.904,564.907,0,242.038,54.412,-43.317,11.095,"High Risk",-2.260700201981341,31.25999999999999,0.09392661945296606,0.2202795661640901,54.439385551029176
3339.64,636.154,304.256,986.78,598.133,1397.891,1876.842,560.126,0.295474961,1.779393257,0.179101041,0.751005986,0.321342267,1861.358,1462.798,41.728,26511.0408,191.144,1861.358,501.271,-166.748,334.523,"Moderate Risk",-0.2585920954226079,827.2980000000002,1.2121156179123376,0.46329691813396373,75.1005985952192
7817.433,610.917,80.828,4598.581,993.463,1727.582,5547.302,-1052.82,0.588246935,1.409231551,0.127083021,0.706931405,0.406527849,2443.776,2270.131,289.557,12799.1352,0,2443.776,689.42,107.401,796.821,"Moderate Risk",-1.9544797194523134,610.9170000000004,0.13522585232083303,0.2123052291432529,70.69314045149801
1668.318,135.118,5.549,612.235,104.528,323.112,906.057,-240.657,0.366977399,1.841294753,0.062654722,0.551653961,0.178462221,585.715,762.261,36.767,1286.2326,30.501,585.715,51.336,-10.917,40.419,"High Risk",-0.7886235816865877,165.61899999999991,0.27298965197812364,0.1691982958445023,55.1653961397608
