Total Asset,Cash,Total Debt in Current Liabilities,Total Long-Term Debt,Earnings Before Interest,Gross Profit (Loss),Total Liabilities,Retained Earnings,Total debt/total asset,Total asset/Total libiilities,EBTI/total asset,Gross Profit/Revenue,EBTI/REV,Sales/Turnover (Net),Total Stockholders Equity,Total Interest and Related Expense,Market Value - Total - Fiscal,Total Inventories,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,Debt-to-Equity Ratio,Total Current Asset,Working Capital Ratio,Debt Service Coverage Ratio,Gross Profit Margin,Prediction (Rating level),Probability_Class_0,Probability_Class_1
1819.7,57.9,13.2,1771.0,361.7,582.8,2468.2,-3361.8,0.973237347,0.737257921,0.198769028,0.455953685,0.28297606,1278.2,-648.5,149.5,667.6542,25.0,175.2,-514.5,-339.3,-0.0203546646106399,82.90000000000009,0.0471612242575947,0.2027239098755744,45.595368486934746,0,0.997889,1.3364757e-06
3164.0,290.9,96.3,3055.1,-8218.5,-8001.0,4898.3,-4206.5,0.965581542,0.645938387,-2.597503161,-1.730432338,-1.777472587,4623.7,-1734.3,216.6,1094.1836,521.9,358.9,-288.3,70.6,-0.0555267254800207,812.8000000000002,0.2747059618764365,-2.6078885574665227,-173.04323377381752,2,0.035816822,4.1673753e-05
1433.076,9.095,6.446,497.363,147.097,765.636,1176.133,121.043,0.347059751,1.218464238,0.102644242,0.438415936,0.084230194,1746.369,256.943,29.272,628.7103,70.74,91.903,29.682,121.585,0.0250872761663092,79.83500000000004,0.1626242317947841,0.2919697742596897,43.84159361509509,2,0.0061855684,2.009522e-05
1546.231,270.861,17.498,460.899,-1398.72,-1314.924,960.913,-2205.411,0.298079006,1.609126945,-0.904599636,-2.068329605,-2.200137792,635.742,585.318,46.221,528.2922,163.135,52.927,92.978,145.905,0.0298948605715183,433.9959999999999,0.9787889517614976,-2.923764154039428,-206.83296054059664,0,0.998998,8.893728e-06
13459.0,1089.0,504.0,5644.0,4628.0,10548.0,12074.0,15325.0,0.419347648,1.114709293,0.343859128,0.61052266,0.267870579,17277.0,1385.0,134.0,62735.4033,1382.0,3298.0,-2170.0,1128.0,0.363898916967509,2471.0,0.4807392996108949,0.752765126870527,61.05226601840597,1,4.4386857e-06,0.9992766
159339.0,3910.0,4217.0,44017.0,23160.0,23160.0,105205.0,21393.0,0.276247497,1.514557293,0.145350479,0.336750273,0.336750273,68775.0,53068.0,2617.0,147229.0808,0.0,16945.0,-6020.0,10925.0,0.0794640838169895,3910.0,0.0982412060301507,0.4801592237840527,33.67502726281352,1,2.3905724e-05,0.9975464
19185.0,207.0,600.0,8139.0,1846.0,1846.0,15478.0,-1107.0,0.424237686,1.239501228,0.096221006,0.257138877,0.257138877,7179.0,3707.0,410.0,9562.644,918.0,1447.0,498.0,1945.0,0.1618559482060965,1125.0,0.1492240350179068,0.2112369836365717,25.713887728095838,2,0.00021878381,0.0030385351
4458.34,25.222,101.518,1280.833,506.384,1207.685,1869.9,1472.641,0.287289215,2.384266538,0.113581288,0.703051504,0.294790473,1717.776,2588.44,13.565,7890.6377,381.474,454.823,842.165,1296.988,0.0392197617097556,406.6959999999999,0.3448578200056811,0.3663208548335408,70.30515038049198,2,1.0763482e-05,9.446529e-05
11057.864,878.826,4.891,8384.91,1025.684,1025.684,9220.902,1494.552,0.758275739,1.19921717,0.092756069,0.472885537,0.472885537,2168.99,1836.962,734.022,4153.5096,204.967,400.295,-1772.21,-1371.915,0.0026625482726371,1083.7929999999997,0.1293306136895393,0.1222536744316104,47.2885536586153,0,0.9967824,7.569291e-05
4134.075,174.821,1.075,1051.892,350.359,1123.844,2091.973,1835.345,0.254444344,1.976160782,0.084749067,0.502339735,0.156604695,2237.219,2042.102,36.27,4918.7941,285.457,281.597,30.931,312.528,0.0005264183669571,460.27800000000025,0.438019179362344,0.3327350239846072,50.233973518015,2,1.0485184e-05,2.646731e-05
19466.7,209.6,1705.4,4864.0,2901.1,7478.7,12084.6,4603.2,0.249862586,1.610868378,0.149028854,0.523700151,0.20315115,14280.5,7382.1,268.0,31340.6356,1466.9,1815.6,-1071.0,744.6,0.2310182739328917,1676.5,0.5307731273348952,0.4416080616190215,52.37001505549526,2,8.628207e-06,0.010346679
3059.301,40.504,29.532,1134.179,234.505,234.505,2075.047,1024.536,0.370731419,1.474328533,0.076653131,0.255584317,0.255584317,917.525,984.254,60.278,1611.6939,45.889,243.34,102.764,346.104,0.030004450070815,86.39300000000003,0.0782086947232917,0.2015148090891982,25.55843165036375,2,0.0070044096,0.0006437045
18889.0,474.0,727.0,6798.0,2505.0,4821.0,11856.0,1546.0,0.359892001,1.593201754,0.132616867,0.323318356,0.167996781,14911.0,7033.0,498.0,8862.3,3215.0,963.0,-1180.0,-217.0,0.1033698279539314,3689.0,0.6076428924394663,0.332890365448505,32.33183555764201,2,6.581341e-06,1.5809512e-05
8594.704,42.258,196.695,2455.986,865.336,865.336,5508.472,905.579,0.28575574,1.560270071,0.100682467,0.175136756,0.175136756,4940.916,3086.232,130.795,4788.5076,284.621,739.986,73.649,813.635,0.063733057009324,326.8790000000008,0.1446821148758618,0.3262118588703278,17.513675601851965,1,0.00040993793,0.9682248
3193.467,238.144,12.774,609.72,370.038,833.198,1295.467,1255.931,0.19092729,2.465108721,0.115873438,0.406206412,0.180403467,2051.169,1898.0,33.01,3730.5391,433.595,216.364,-55.208,161.156,0.0067302423603793,671.739,1.1252927400468384,0.5944442838003258,40.62064120508842,2,0.00015398374,0.0008811677
2408.974,7.523,50.164,728.94,428.234,1798.34,1285.93,711.048,0.302593552,1.873332141,0.177766136,0.479688704,0.114227016,3748.973,1123.044,28.288,4017.3689,147.158,313.97,-281.664,32.306,0.0446678847845676,154.68100000000004,0.2278822468678916,0.549649340781205,47.96887040797573,2,0.0001875533,0.00025763948
8194.429,1993.125,28.742,991.685,1408.916,1591.627,4970.599,3109.385,0.121019415,1.648579779,0.171935836,0.073920596,0.065434873,21531.577,3223.83,29.681,9011.6794,1587.275,642.574,-666.416,-23.842,0.0089154825161376,3580.4,3.718184773138181,1.3807121920529348,7.39205957835787,1,9.475874e-06,0.9810759
